     DEBUG | 		writing sigai.student39.ppk
     DEBUG | 		writing sigai.student39.pem.pub
     DEBUG | 		writing sigai.student39_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student38-keys.tgz
     DEBUG | Extracted to sigai.student38-keys
     DEBUG | 	sigai.student38_id_rsa_1 -> sigai.student38.pem
     DEBUG | 	sigai.student38_id_rsa_1.ppk -> sigai.student38.ppk
     DEBUG | 	sigai.student38_passphrase_1.txt -> sigai.student38_pass.txt
     DEBUG | 	sigai.student38_id_rsa_1.pub -> sigai.student38.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student38.pem
     DEBUG | 		writing sigai.student38.ppk
     DEBUG | 		writing sigai.student38.pem.pub
     DEBUG | 		writing sigai.student38_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student33-keys.tgz
     DEBUG | Extracted to sigai.student33-keys
     DEBUG | 	sigai.student33_id_rsa_1 -> sigai.student33.pem
     DEBUG | 	sigai.student33_id_rsa_1.ppk -> sigai.student33.ppk
     DEBUG | 	sigai.student33_passphrase_1.txt -> sigai.student33_pass.txt
     DEBUG | 	sigai.student33_id_rsa_1.pub -> sigai.student33.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student33.pem
     DEBUG | 		writing sigai.student33.ppk
     DEBUG | 		writing sigai.student33.pem.pub
     DEBUG | 		writing sigai.student33_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student32-keys.tgz
     DEBUG | Extracted to sigai.student32-keys
     DEBUG | 	sigai.student32_id_rsa_1 -> sigai.student32.pem
     DEBUG | 	sigai.student32_passphrase_1.txt -> sigai.student32_pass.txt
     DEBUG | 	sigai.student32_id_rsa_1.ppk -> sigai.student32.ppk
     DEBUG | 	sigai.student32_id_rsa_1.pub -> sigai.student32.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student32.pem
     DEBUG | 		writing sigai.student32.ppk
     DEBUG | 		writing sigai.student32.pem.pub
     DEBUG | 		writing sigai.student32_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student44-keys.tgz
     DEBUG | Extracted to sigai.student44-keys
     DEBUG | 	sigai.student44_id_rsa_1 -> sigai.student44.pem
     DEBUG | 	sigai.student44_id_rsa_1.ppk -> sigai.student44.ppk
     DEBUG | 	sigai.student44_passphrase_1.txt -> sigai.student44_pass.txt
     DEBUG | 	sigai.student44_id_rsa_1.pub -> sigai.student44.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student44.pem
     DEBUG | 		writing sigai.student44.ppk
     DEBUG | 		writing sigai.student44.pem.pub
     DEBUG | 		writing sigai.student44_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student45-keys.tgz
     DEBUG | Extracted to sigai.student45-keys
     DEBUG | 	sigai.student45_id_rsa_1 -> sigai.student45.pem
     DEBUG | 	sigai.student45_id_rsa_1.ppk -> sigai.student45.ppk
     DEBUG | 	sigai.student45_passphrase_1.txt -> sigai.student45_pass.txt
     DEBUG | 	sigai.student45_id_rsa_1.pub -> sigai.student45.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student45.pem
     DEBUG | 		writing sigai.student45.ppk
     DEBUG | 		writing sigai.student45.pem.pub
     DEBUG | 		writing sigai.student45_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student20-keys.tgz
     DEBUG | Extracted to sigai.student20-keys
     DEBUG | 	sigai.student20_id_rsa_1.ppk -> sigai.student20.ppk
     DEBUG | 	sigai.student20_passphrase_1.txt -> sigai.student20_pass.txt
     DEBUG | 	sigai.student20_id_rsa_1 -> sigai.student20.pem
     DEBUG | 	sigai.student20_id_rsa_1.pub -> sigai.student20.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student20.pem
     DEBUG | 		writing sigai.student20.ppk
     DEBUG | 		writing sigai.student20.pem.pub
     DEBUG | 		writing sigai.student20_pass.txt
     DEBUG | 		writing conf
